Year,Project,Trip No,Vessel Name,Trip Comments,Set No,Longline System,Station No,Area Description,G Stat Area,Start Latitude Decimal Degrees,Start Longitude Decimal Degree,End Latitude Decimal Degrees,End Longitude Decimal Degrees,Time Second Anchor Overboard,Time First Buoy Onboard,Time First Anchor Onboard,Time Second Anchor Onboard,Start Depth Fathoms,End Depth Fathoms,Avg Depth Fathoms,Substrate Type,Haul Back Order,Wind Direction,Wind Speed Knots,Set Comment,Subset No,Subset Condition,Subset Comments,Hooks - Total Number,Hooks - Number with Bait,Hooks - Number Bare,Hooks - Number Invalid,Sablefish,Dogfish,Sleeper Shark
2019,Chatham Sablefish LL Survey,1,Marilyn J,"ADFG staff- Aaron Baldwin & Mariah Leeseberg. Skipper- Mike Giles. Crew- Cameron Bowers, Bailey Lane & Shawnee Whitehorse. PQS permit holders- Bruce Hattrick & Dawn Gillman. Survey terminated after 12 sets, Stations 55 & 58 not surveyed.",1,ADFG Conventional,8,Gut Bay,345631,56.74783,-134.55483,56.72157,-134.55533,7/25/2019 6:46,7/25/2019 10:11,7/25/2019 10:40,7/25/2019 12:43,399,388,397,Unknown,Same,Unknown,Unknown,Snarl on skate 19 at setting. Anchor locations are actual positions recorded by staff and replace those collected by Panasonic tablets. Remaining set info was not captured on hard copy form and therefore cannot be verified.,1,Valid,,45,25,6,0,14,0,0
2019,Chatham Sablefish LL Survey,1,Marilyn J,"ADFG staff- Aaron Baldwin & Mariah Leeseberg. Skipper- Mike Giles. Crew- Cameron Bowers, Bailey Lane & Shawnee Whitehorse. PQS permit holders- Bruce Hattrick & Dawn Gillman. Survey terminated after 12 sets, Stations 55 & 58 not surveyed.",1,ADFG Conventional,8,Gut Bay,345631,56.74783,-134.55483,56.72157,-134.55533,7/25/2019 6:46,7/25/2019 10:11,7/25/2019 10:40,7/25/2019 12:43,399,388,397,Unknown,Same,Unknown,Unknown,Snarl on skate 19 at setting. Anchor locations are actual positions recorded by staff and replace those collected by Panasonic tablets. Remaining set info was not captured on hard copy form and therefore cannot be verified.,2,Valid,,43,27,9,0,7,0,0
2019,Chatham Sablefish LL Survey,1,Marilyn J,"ADFG staff- Aaron Baldwin & Mariah Leeseberg. Skipper- Mike Giles. Crew- Cameron Bowers, Bailey Lane & Shawnee Whitehorse. PQS permit holders- Bruce Hattrick & Dawn Gillman. Survey terminated after 12 sets, Stations 55 & 58 not surveyed.",1,ADFG Conventional,8,Gut Bay,345631,56.74783,-134.55483,56.72157,-134.55533,7/25/2019 6:46,7/25/2019 10:11,7/25/2019 10:40,7/25/2019 12:43,399,388,397,Unknown,Same,Unknown,Unknown,Snarl on skate 19 at setting. Anchor locations are actual positions recorded by staff and replace those collected by Panasonic tablets. Remaining set info was not captured on hard copy form and therefore cannot be verified.,3,Valid,,45,37,4,0,4,0,0
2019,Chatham Sablefish LL Survey,1,Marilyn J,"ADFG staff- Aaron Baldwin & Mariah Leeseberg. Skipper- Mike Giles. Crew- Cameron Bowers, Bailey Lane & Shawnee Whitehorse. PQS permit holders- Bruce Hattrick & Dawn Gillman. Survey terminated after 12 sets, Stations 55 & 58 not surveyed.",1,ADFG Conventional,8,Gut Bay,345631,56.74783,-134.55483,56.72157,-134.55533,7/25/2019 6:46,7/25/2019 10:11,7/25/2019 10:40,7/25/2019 12:43,399,388,397,Unknown,Same,Unknown,Unknown,Snarl on skate 19 at setting. Anchor locations are actual positions recorded by staff and replace those collected by Panasonic tablets. Remaining set info was not captured on hard copy form and therefore cannot be verified.,4,Valid,,45,33,6,0,6,0,0
2019,Chatham Sablefish LL Survey,1,Marilyn J,"ADFG staff- Aaron Baldwin & Mariah Leeseberg. Skipper- Mike Giles. Crew- Cameron Bowers, Bailey Lane & Shawnee Whitehorse. PQS permit holders- Bruce Hattrick & Dawn Gillman. Survey terminated after 12 sets, Stations 55 & 58 not surveyed.",1,ADFG Conventional,8,Gut Bay,345631,56.74783,-134.55483,56.72157,-134.55533,7/25/2019 6:46,7/25/2019 10:11,7/25/2019 10:40,7/25/2019 12:43,399,388,397,Unknown,Same,Unknown,Unknown,Snarl on skate 19 at setting. Anchor locations are actual positions recorded by staff and replace those collected by Panasonic tablets. Remaining set info was not captured on hard copy form and therefore cannot be verified.,5,Valid,,45,28,8,0,9,0,0
2019,Chatham Sablefish LL Survey,1,Marilyn J,"ADFG staff- Aaron Baldwin & Mariah Leeseberg. Skipper- Mike Giles. Crew- Cameron Bowers, Bailey Lane & Shawnee Whitehorse. PQS permit holders- Bruce Hattrick & Dawn Gillman. Survey terminated after 12 sets, Stations 55 & 58 not surveyed.",1,ADFG Conventional,8,Gut Bay,345631,56.74783,-134.55483,56.72157,-134.55533,7/25/2019 6:46,7/25/2019 10:11,7/25/2019 10:40,7/25/2019 12:43,399,388,397,Unknown,Same,Unknown,Unknown,Snarl on skate 19 at setting. Anchor locations are actual positions recorded by staff and replace those collected by Panasonic tablets. Remaining set info was not captured on hard copy form and therefore cannot be verified.,6,Valid,,44,35,6,0,3,0,0
2019,Chatham Sablefish LL Survey,1,Marilyn J,"ADFG staff- Aaron Baldwin & Mariah Leeseberg. Skipper- Mike Giles. Crew- Cameron Bowers, Bailey Lane & Shawnee Whitehorse. PQS permit holders- Bruce Hattrick & Dawn Gillman. Survey terminated after 12 sets, Stations 55 & 58 not surveyed.",1,ADFG Conventional,8,Gut Bay,345631,56.74783,-134.55483,56.72157,-134.55533,7/25/2019 6:46,7/25/2019 10:11,7/25/2019 10:40,7/25/2019 12:43,399,388,397,Unknown,Same,Unknown,Unknown,Snarl on skate 19 at setting. Anchor locations are actual positions recorded by staff and replace those collected by Panasonic tablets. Remaining set info was not captured on hard copy form and therefore cannot be verified.,7,Valid,,45,32,4,0,9,0,0
2019,Chatham Sablefish LL Survey,1,Marilyn J,"ADFG staff- Aaron Baldwin & Mariah Leeseberg. Skipper- Mike Giles. Crew- Cameron Bowers, Bailey Lane & Shawnee Whitehorse. PQS permit holders- Bruce Hattrick & Dawn Gillman. Survey terminated after 12 sets, Stations 55 & 58 not surveyed.",1,ADFG Conventional,8,Gut Bay,345631,56.74783,-134.55483,56.72157,-134.55533,7/25/2019 6:46,7/25/2019 10:11,7/25/2019 10:40,7/25/2019 12:43,399,388,397,Unknown,Same,Unknown,Unknown,Snarl on skate 19 at setting. Anchor locations are actual positions recorded by staff and replace those collected by Panasonic tablets. Remaining set info was not captured on hard copy form and therefore cannot be verified.,8,Valid,,44,35,3,0,6,0,0
2019,Chatham Sablefish LL Survey,1,Marilyn J,"ADFG staff- Aaron Baldwin & Mariah Leeseberg. Skipper- Mike Giles. Crew- Cameron Bowers, Bailey Lane & Shawnee Whitehorse. PQS permit holders- Bruce Hattrick & Dawn Gillman. Survey terminated after 12 sets, Stations 55 & 58 not surveyed.",1,ADFG Conventional,8,Gut Bay,345631,56.74783,-134.55483,56.72157,-134.55533,7/25/2019 6:46,7/25/2019 10:11,7/25/2019 10:40,7/25/2019 12:43,399,388,397,Unknown,Same,Unknown,Unknown,Snarl on skate 19 at setting. Anchor locations are actual positions recorded by staff and replace those collected by Panasonic tablets. Remaining set info was not captured on hard copy form and therefore cannot be verified.,9,Valid,,45,33,1,0,11,0,0
2019,Chatham Sablefish LL Survey,1,Marilyn J,"ADFG staff- Aaron Baldwin & Mariah Leeseberg. Skipper- Mike Giles. Crew- Cameron Bowers, Bailey Lane & Shawnee Whitehorse. PQS permit holders- Bruce Hattrick & Dawn Gillman. Survey terminated after 12 sets, Stations 55 & 58 not surveyed.",1,ADFG Conventional,8,Gut Bay,345631,56.74783,-134.55483,56.72157,-134.55533,7/25/2019 6:46,7/25/2019 10:11,7/25/2019 10:40,7/25/2019 12:43,399,388,397,Unknown,Same,Unknown,Unknown,Snarl on skate 19 at setting. Anchor locations are actual positions recorded by staff and replace those collected by Panasonic tablets. Remaining set info was not captured on hard copy form and therefore cannot be verified.,10,Valid,,44,38,2,0,4,0,0
